"location.long","location.lat","timestamp","burst_","step_id_","case_","x1_","y1_","x2_","y2_","t1_","t2_","dt_","sl_","ta_","individual.local.identifier","utm.northing","x2_.1"
-8.50281828320765,TRUE,"2014-04-14 09:09:24",4,44,FALSE,4967632.32783163,-1185062.71188309,4967573.68963955,-1184745.46285626,"2014-04-14 09:09:24","2014-04-14 09:25:37",16.2166666666667,325.090314935427,133.69905555179,"B3",-1184745.46285626,-1.31922790775555
-8.50282284268608,TRUE,"2014-04-13 10:03:09",1,15,FALSE,4968449.34568383,-1184992.64167349,4968498.49971311,-1184852.13107951,"2014-04-13 10:03:09","2014-04-13 10:18:35",15.4333333333333,151.100432651299,76.6376836384527,"B3",-1184852.13107951,-1.31250288511678
-8.50285222835761,TRUE,"2014-04-14 10:32:28",5,46,FALSE,4967494.50086967,-1185082.45236898,4967703.02558746,-1184765.04062251,"2014-04-14 10:32:28","2014-04-14 10:55:34",23.1,325.768568492491,-87.0884274184143,"B3",-1184765.04062251,-1.31828353417893
-8.50285510990338,TRUE,"2014-04-13 14:12:28",2,28,FALSE,4968416.67099059,-1184943.40991283,4968415.99771811,-1184847.18747648,"2014-04-13 14:12:28","2014-04-13 14:28:14",15.7666666666667,157.536289607428,-105.239080121079,"B3",-1184847.18747648,-1.31309903554236
-8.50286619498425,TRUE,"2014-04-16 14:40:12",12,130,FALSE,4967911.08742347,-1185060.66894197,4967771.6752775,-1184774.86551028,"2014-04-16 14:40:12","2014-04-16 14:55:45",15.55,267.2774079274,-123.544183527834,"B3",-1184774.86551028,-1.31778274499687
-8.50287008353765,TRUE,"2014-04-16 11:49:09",12,119,FALSE,4967603.84636088,-1185125.22182494,4967931.53741198,-1184793.73725872,"2014-04-16 11:49:09","2014-04-16 12:04:39",15.5,466.213958379285,-80.8900467134256,"B3",-1184793.73725872,-1.31661988443696
-8.50287294155634,TRUE,"2014-04-17 10:31:42",15,149,FALSE,4967849.91156059,-1184948.96353803,4967889.54442585,-1184789.32287553,"2014-04-17 10:31:42","2014-04-17 10:47:30",15.8,161.652960214755,39.0222105197588,"B3",-1184789.32287553,-1.31692489914103
-8.50287389944737,TRUE,"2014-04-16 08:09:35",11,109,FALSE,4967993.11200591,-1185267.563008,4968170.84698416,-1184821.70861866,"2014-04-16 08:09:35","2014-04-16 08:24:57",15.3666666666667,397.026520319664,19.9561996054556,"B3",-1184821.70861866,-1.31487937445899
-8.50288186432194,TRUE,"2014-04-14 12:29:05",5,53,FALSE,4967415.73195938,-1184888.40185791,4967633.25158998,-1184761.18948452,"2014-04-14 12:29:05","2014-04-14 12:46:33",17.4666666666667,284.431415604129,-55.8485285268689,"B3",-1184761.18948452,-1.31878748083858
-8.50290045466173,TRUE,"2014-04-13 11:22:17",1,20,FALSE,4968468.74658613,-1184961.97004652,4968509.96500298,-1184864.30899502,"2014-04-13 11:22:17","2014-04-13 11:37:51",15.5666666666667,108.941306305045,151.979225863821,"B3",-1184864.30899502,-1.31241058267026
